fen,my_move
r1bqkbnr/pppp1ppp/8/4n3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Bf4
rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5
rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP3B/2N2N2/PP2PPPP/R2QKB1R w KQ - 2 7,e3
r1b1kb1r/ppp2ppp/2n5/3qp3/4N3/3P1N2/PPP2PPP/R1BQK2R b KQkq - 0 7,Bg4
rn1qkb1r/pp3ppp/2p1pn2/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e3
r1bqk2r/pppp1ppp/2n2n2/1B2p3/1b2P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5,h6
rnbqkb1r/ppp2ppp/8/3pP3/4n3/2N2N2/PPPP2PP/R1BQKB1R b KQkq - 1 5,Bg4
rnbqkbnr/pp2pppp/8/2pp4/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,Nc6
rn1qk1nr/pp2bppp/2p1p3/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,Bxe7
rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,exd5
r1bqkbnr/pp1ppppp/2n5/8/2PQ4/8/PP2PPPP/RNB1KBNR w KQkq - 1 4,Qd1
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQ - 4 5,Bg5
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,Nc6
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,Bg4
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e3
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3,h6
rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e4
r2qkb1r/pp2pppp/2n2n2/2pp4/3P1Bb1/2P1PN2/PP1N1PPP/R2QKB1R b KQkq - 2 6,e6
r1bqkb1r/p4ppp/2p2n2/n3p1N1/B7/8/PPPP1PPP/RNBQK2R b KQkq - 1 8,h6
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/3PB3/PPP2PPP/RN1QKB1R b KQkq - 2 6,Bxe3
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d5
r1bqkb1r/pppp1ppp/2n2n2/4p1B1/4P3/3P1N2/PPP2PPP/RN1QKB1R b KQkq - 2 4,Be7
r1bBk2r/ppp2ppp/2p5/2b5/4n3/3P4/PPP2PPP/RN1QKB1R b KQkq - 0 7,Bxf2+
r1bBk2r/ppp2ppp/2p5/8/4n3/3P4/PPP1KbPP/RN1Q1B1R b kq - 1 8,Bg4#
rnbqkbnr/ppp2ppp/3p4/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,e4
rnbqk1nr/ppppppbp/6p1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nf3
rnbqkbnr/pp2pppp/2p5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4
r1b1kb1r/ppp2ppp/2n5/3qp3/8/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 7,Qd8
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 1 3,Nc6
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/P7/1P2PPPP/RNBQKBNR b KQkq - 0 3,Nf6
