fen,my_move,Your_Move_Eval,Best_Move_Eval,Eval_Difference,New_Move_Quality
r2qkb1r/pp3ppp/2n1pn2/2pp4/3P1Bb1/2PBPN2/PP1N1PPP/R2QK2R b KQkq - 1 7,Bd6,0.07,0.00,0.07,Best/Excellent
rnbq1rk1/ppp1bppp/4pn2/8/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQ - 5 7,O-O,-0.39,-0.54,0.15,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3,exf4,0.00,0.00,0.00,Unknown
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 1 5,Nc6,0.21,0.23,0.02,Best/Excellent
r1b1k2r/ppp2ppp/2p5/2b5/2B1P2q/2N2Q1n/PPPP2P1/R1B2R1K b kq - 1 10,Ng5+,0.00,0.00,0.00,Blunder
rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,-0.23,-0.45,0.22,Good
rnbqkbnr/pp1p1ppp/4p3/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,0.11,-0.77,0.88,Inaccuracy
r1bqkbnr/pp2pppp/2n5/2pp4/3P4/2P1PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,Nf6,0.57,0.15,0.42,Good
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P4/2PBPN2/PP3PPP/RNBQK2R b KQkq - 2 5,Bg4,-0.34,-0.29,0.05,Best/Excellent
rnbqkb1r/ppp2ppp/8/3pP3/4N3/8/PPPP2PP/R1BQKBNR b KQkq - 0 5,dxe4,0.00,0.00,0.00,Unknown
rnbq1rk1/ppp1ppb1/3p1npp/6B1/2PPP3/2N5/PP2BPPP/R2QK1NR w KQ - 0 7,Be3,-0.54,-0.48,0.06,Best/Excellent
r1bqkb1r/ppp2ppp/5n2/nB1Pp1N1/8/8/PPPP1PPP/RNBQK2R b KQkq - 2 6,Bd7,0.37,0.14,0.23,Good
rnbqkbnr/ppp2ppp/8/3p4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 4,Nf6,0.26,0.13,0.13,Best/Excellent
rnbqk2r/pp2bppp/4pn2/2pP2B1/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,Nxd5,0.31,0.30,0.01,Best/Excellent
rnbqk2r/ppp2ppp/4pb2/3P4/3P4/2N5/PP2PPPP/R2QKBNR b KQkq - 0 6,exd5,0.00,0.00,0.00,Unknown
rnbqk2r/ppp1bppp/4pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq - 5 5,c5,0.38,0.25,0.13,Best/Excellent
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bf4,-0.05,-0.29,0.24,Good
rnbqk2r/pp2Bppp/4p3/2pn4/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 7,Qxe7,0.49,0.47,0.02,Best/Excellent
rnbqkb1r/ppp2ppp/5n2/3P4/2P2p2/5N2/PP1P2PP/RNBQKB1R b KQkq - 0 5,c6,-0.17,-0.14,0.03,Best/Excellent
rnbqkb1r/pp3ppp/2P2n2/8/2P2p2/5N2/PP1P2PP/RNBQKB1R b KQkq - 0 6,Nxc6,-1.03,-0.81,0.22,Good
r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 2 4,Nf6,-0.09,0.00,0.09,Best/Excellent
r1bqk2r/ppp2ppp/2p2n2/8/4P3/3PP3/PPP3PP/RN1QKB1R b KQkq - 0 7,Ng4,0.86,0.56,0.30,Good
r1bqkbnr/ppp1pppp/2n5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e3,-0.33,-0.89,0.56,Inaccuracy
rnbqkbnr/pppp2pp/8/4p3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Nf3,-1.17,-5.10,3.93,Blunder
rnbqkbnr/pppp1ppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,Nc6,0.16,-0.02,0.18,Best/Excellent
rnbqk1nr/pp2bppp/2p1p3/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bf4,-0.29,-0.88,0.59,Inaccuracy
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 7,Bd3,-0.44,-0.47,0.03,Best/Excellent
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/2N4P/PPPP1PP1/R1BQKB1R b KQkq - 0 6,O-O,1.96,1.68,0.28,Good
r1bqkbnr/pppp1ppp/6n1/8/4PB2/8/PPP2PPP/RN1QKBNR w KQkq - 2 5,Bg3,-0.32,-0.34,0.02,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,dxe5,0.00,0.00,0.00,Unknown
rnbqkbnr/pp3ppp/2p1p3/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Nc3,-0.80,-0.86,0.06,Best/Excellent
r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 5,Nxd5,-0.37,-0.31,0.06,Best/Excellent
rn1qkbnr/pbp1pppp/1p1p4/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,-0.99,-0.88,0.11,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,Bb4,0.35,-0.07,0.42,Good
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR b KQkq - 3 4,c5,0.00,-0.01,0.01,Best/Excellent
r2qkb1r/pp1npppp/2p2n2/3p2B1/2PP2b1/2N2N2/PP2PPPP/R2QKB1R w KQkq - 6 6,e3,0.08,-0.45,0.53,Inaccuracy
r2qkb1r/pp1nppp1/2p2n1p/3p2B1/2PP2b1/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4,-0.26,-0.34,0.08,Best/Excellent
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,exd5,0.00,0.00,0.00,Unknown
rn1qkbnr/ppp1pppp/8/3p4/2PP2b1/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,-0.79,-1.60,0.81,Inaccuracy
r1bqk2r/pp1nbpp1/2p1pn1p/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQkq - 0 8,Bh4,-0.34,-0.25,0.09,Best/Excellent
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/P1N5/1P2PPPP/R1BQKBNR b KQkq - 2 4,c5,-0.11,-0.08,0.03,Best/Excellent
rnbqkbnr/pp1p1ppp/4p3/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,c4,-0.81,-0.70,0.11,Best/Excellent
r1bqkb1r/pp1npppp/2p2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5,0.03,-0.74,0.77,Inaccuracy
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,c5,0.48,0.18,0.30,Good
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Bd3,-1.10,-1.19,0.09,Best/Excellent
rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e3,-0.36,-0.36,0.00,Best/Excellent
r1bqkb1r/ppp2ppp/2n5/4p3/8/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 8,Bg4,-1.17,-1.14,0.03,Best/Excellent
r2qk2r/pp3ppp/2nbpn2/2ppN3/3P1Bb1/2P1P3/PP1NBPPP/R2QK2R b KQkq - 3 8,Bxe2,-0.24,-0.14,0.10,Best/Excellent
r1bqkb1r/ppp2ppp/2n5/4p3/4B3/5N2/PPPP1PPP/R1BQK2R b KQkq - 0 7,Bd6,-0.10,-0.14,0.04,Best/Excellent
rn1qkb1r/ppp1pppp/5n2/5b2/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 1 5,Nc3,-0.62,-0.64,0.02,Best/Excellent
rnb1kbnr/pp2pppp/8/2pq4/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 4,Qd8,1.33,1.41,0.08,Best/Excellent
rnbqkbnr/ppp2ppp/3pp3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,-0.57,-0.55,0.02,Best/Excellent
rnb1kbnr/ppp2ppp/8/8/2Bq4/4P3/PP3PPP/RNB1K1NR w KQkq - 0 6,exd4,0.00,0.00,0.00,Unknown
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,d5,0.61,0.21,0.40,Good
rnbq1rk1/pp2bpp1/4pn1p/2pp4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 8,Bd3,0.05,-0.34,0.39,Good
r3kb1r/ppp2ppp/2n5/3qp3/4N1b1/3P1N1P/PPP2PP1/R1BQK2R b KQkq - 0 8,Bh5,-1.67,-1.31,0.36,Good
rn1qkbnr/ppp2ppp/8/3P4/3P1pb1/5N2/PPP3PP/RNBQKB1R b KQkq - 0 5,c6,0.95,0.12,0.83,Inaccuracy
rnbqkbnr/pppp1ppp/8/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Nf6,-0.20,-0.34,0.14,Best/Excellent
rnbqkbnr/1p2pppp/p1p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,-0.43,-0.45,0.02,Best/Excellent
rn1qkb1r/pp2ppp1/2p2n1p/3p2B1/2PP2b1/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,Bh4,-0.36,-1.06,0.70,Inaccuracy
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPPNPPP/RNBQKB1R b KQkq - 1 2,Nf6,0.00,0.00,0.00,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/6N1/PPPP1PPP/RNBQKB1R b KQkq - 3 3,Nc6,-0.71,-0.77,0.06,Best/Excellent
r1bqkb1r/pp1p1ppp/5n2/2p1Q3/4P3/2N5/PPP2PPP/R1B1KB1R b KQkq - 1 7,Be7,1.40,1.46,0.06,Best/Excellent
rnbq1rk1/ppppppbp/5np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQ - 1 5,Be2,-0.50,-0.60,0.10,Best/Excellent
r1bq1rk1/pppn1pbp/3p1np1/4p1B1/2PPP3/2N4P/PP2BPP1/R2QK1NR w KQ - 0 8,Nf3,-0.20,-0.55,0.35,Good
rnbqk2r/pp2bppp/4pn2/2Pp2B1/2P5/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,Bxc5,0.63,0.34,0.29,Good
rnbqk2r/pp3ppp/4pn2/2bP2B1/8/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 7,exd5,0.00,0.00,0.00,Unknown
r1bqk2r/ppp2pp1/2p2n2/2b4p/4P3/2PP4/PP2BPPP/RNBQK2R b KQkq - 0 7,a6,2.56,2.56,0.00,Best/Excellent
r1bqkbnr/pp2pppp/2n5/2pp4/3P1P2/4PN2/PPP3PP/RNBQKB1R b KQkq - 0 4,Bg4,-0.61,-0.62,0.01,Best/Excellent
rnbq1rk1/ppp2pbp/5np1/4p3/2P1P3/2N4P/PP2BPP1/R1BQK1NR w KQ - 0 8,Bg5,0.08,0.02,0.06,Best/Excellent
r1bqk2r/ppp2ppp/2p5/8/4P3/2NPbQ2/PPP3PP/R3KB1R b KQkq - 1 9,Bb6,-0.44,-1.00,0.56,Inaccuracy
rnbqkb1r/ppp2pp1/4pn1p/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 5,Bh4,0.06,-1.05,1.11,Inaccuracy
r1bqk2r/pppp1ppp/2n2n2/1B2p3/1b2P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 7 5,d6,1.33,0.31,1.02,Inaccuracy
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e3,-0.24,-0.35,0.11,Best/Excellent
r1bqk2r/pppp1pp1/2n2n1p/1B2p3/1b2P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq - 1 6,d6,0.43,0.28,0.15,Best/Excellent
rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,cxd5,0.00,0.00,0.00,Unknown
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 5,Nxd5,0.41,0.39,0.02,Best/Excellent
rnbq1rk1/pppp1ppp/4pn2/6B1/1bPP4/2N5/PP2PPPP/R2QKBNR w KQ - 4 5,Nf3,-0.16,-0.18,0.02,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Nc6,-0.14,-0.48,0.34,Good
rnbqkb1r/pp1p1ppp/2p1pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,-0.32,-1.07,0.75,Inaccuracy
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,Nf6,0.21,0.18,0.03,Best/Excellent
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR w KQ - 3 6,Bg5,-0.34,-0.47,0.13,Best/Excellent
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 5,c5,0.19,0.08,0.11,Best/Excellent
rn1qkbnr/ppp2ppp/8/3P4/2B2pb1/5N2/PPPP2PP/RNBQK2R b KQkq - 3 5,Bd6,-0.39,-0.34,0.05,Best/Excellent
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5,-0.38,-0.51,0.13,Best/Excellent
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/3P4/PPP1BPPP/RNBQK2R b KQkq - 2 6,Qd4,2.65,2.02,0.63,Inaccuracy
r1b1k2r/ppp2ppp/2p2n2/2b5/3qP3/3P4/PPP1BPPP/RNBQ1RK1 b kq - 4 7,h5,2.91,2.67,0.24,Good
rnbqkbnr/pp2pppp/8/2pp4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 1 3,Nf6,-0.13,-0.16,0.03,Best/Excellent
rnbqkb1r/ppppp2p/5np1/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,-0.61,-0.52,0.09,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4N3/4P3/2N5/PPPP1PPP/R1BQKB1R b KQkq - 0 4,Nxe5,-1.76,-1.89,0.13,Best/Excellent
r1bqkb1r/pppp1ppp/5n2/4n3/3PP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,Nc6,-0.87,-1.84,0.97,Inaccuracy
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,h6,-0.03,-0.36,0.33,Good
r1bqkb1r/pppp1pp1/2n2n1p/4p3/4P3/2NP1N2/PPP1BPPP/R1BQK2R b KQkq - 1 5,Bb4,0.17,-0.12,0.29,Good
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,e3,0.10,-0.61,0.71,Inaccuracy
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq - 0 3,Nf6,0.32,0.19,0.13,Best/Excellent
r1bqkb1r/ppp2ppp/2n5/1B1pp3/4N3/5N2/PPPP1PPP/R1BQK2R b KQkq - 1 6,dxe4,0.00,0.00,0.00,Unknown
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,cxd5,0.00,0.00,0.00,Unknown
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/4PN2/PPPN1PPP/R2QKB1R b KQkq - 4 5,Bg4,0.24,0.19,0.05,Best/Excellent
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bf4,-0.30,-0.19,0.11,Best/Excellent
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 4 6,e3,-0.24,-0.26,0.02,Best/Excellent
r1b1kbnr/ppp2ppp/2n5/3q4/3P4/5N2/PP3PPP/RNBQKB1R b KQkq - 2 6,Bg4,-0.10,-0.05,0.05,Best/Excellent
rnbqkbnr/pp2pppp/8/2Pp4/8/2N5/PPP1PPPP/R1BQKBNR b KQkq - 0 3,Nf6,-0.10,-0.17,0.07,Best/Excellent
rnbqkbnr/pp2pppp/2p5/8/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,Bxc4,-0.77,-0.88,0.11,Best/Excellent
r2qkb1r/pp2pppp/2n2n2/2pp4/3P1Bb1/2P1PN2/PP1N1PPP/R2QKB1R b KQkq - 0 6,e6,0.20,0.28,0.08,Best/Excellent
rnbqk1nr/pp1p1ppp/2p1p3/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,-0.49,-0.49,0.00,Best/Excellent
rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bd2,-0.26,-0.35,0.09,Best/Excellent
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq - 0 5,d6,0.24,-0.34,0.58,Inaccuracy
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2PBP3/PP3PPP/RN1QK1NR b KQkq - 2 5,Bg4,-0.10,-0.29,0.19,Best/Excellent
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d5,-0.10,-0.07,0.03,Best/Excellent
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/2N4P/PPPP1PP1/R1BQKB1R b KQkq - 0 6,Qd6,1.88,1.80,0.08,Best/Excellent
rn1qk1nr/ppp2ppp/4p3/3p1b2/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,-0.36,-0.47,0.11,Best/Excellent
rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,e4,-0.52,-0.61,0.09,Best/Excellent
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 5,b5,0.20,0.16,0.04,Best/Excellent
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,Qd3,0.22,-0.80,1.02,Inaccuracy
rnbqkbnr/ppp2pp1/4p2p/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,-0.43,-0.38,0.05,Best/Excellent
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bf4,-0.40,-0.41,0.01,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/P1N2N2/1PPP1PPP/R1BQKB1R b KQkq - 0 4,g6,0.25,0.00,0.25,Good
r1bq1bkr/ppp3p1/2n4p/3pp3/8/3P1N1N/PPP2PPP/R1BQK2R b KQ - 1 9,Bg4,-2.73,-2.76,0.03,Best/Excellent
rn1qkbnr/pbpppp1p/1p4p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,-1.04,-1.09,0.05,Best/Excellent
rn1qk1nr/pbppppbp/1p4p1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Nf3,-0.90,-1.05,0.15,Best/Excellent
rnbqkbnr/pp2pp1p/2p3p1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,-0.46,-0.52,0.06,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4P3/5p2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 4,Ng8,0.58,0.63,0.05,Best/Excellent
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5,-0.26,-0.19,0.07,Best/Excellent
rnbqkbnr/pp2pppp/8/2Pp4/8/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 3,e5,0.70,-0.01,0.71,Inaccuracy
r1bqk2r/pppnbppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 6 6,e3,-0.22,-0.27,0.05,Best/Excellent
r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 7,Bd3,-0.20,-0.19,0.01,Best/Excellent
rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Bd2,-0.45,-0.47,0.02,Best/Excellent
r2qkb1r/pp2pppp/2n2n2/2pp4/3P1Bb1/2PBPN2/PP3PPP/RN1QK2R b KQkq - 4 6,e6,0.03,-0.14,0.17,Best/Excellent
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Bg5,0.06,-0.37,0.43,Good
r1bqkb1r/ppp2ppp/2n1pn2/8/2BP4/2N1P3/PP3PPP/R1BQK1NR w KQkq - 1 6,Nf3,-1.03,-0.92,0.11,Best/Excellent
r1bq1rk1/pppn1ppp/4pn2/6B1/1bpP4/2NBPN2/PP3PPP/R2QK2R w KQ - 0 8,Bxc4,-0.17,-0.22,0.05,Best/Excellent
rnbqkb1r/pp3ppp/4pn2/2Pp4/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,Bxc5,-0.14,-0.17,0.03,Best/Excellent
rnbqk2r/pp2bpp1/2p1pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4,-0.29,-0.39,0.10,Best/Excellent
rnbqkbnr/ppp2ppp/8/3p4/3QP3/2P5/PP3PPP/RNB1KBNR b KQkq - 0 4,Nf6,-0.19,-0.22,0.03,Best/Excellent
r1bqkb1r/pp3ppp/2n1pn2/2pP4/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 6,exd5,0.00,0.00,0.00,Unknown
rn1qk2r/pp2bppp/2p1pn2/3p1bB1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 1 7,Bd3,-0.14,-0.18,0.04,Best/Excellent
rnbqkb1r/ppp2ppp/8/4P3/3Pp3/8/PPP3PP/R1BQKBNR b KQkq d3 0 6,Nc6,0.35,-0.69,1.04,Inaccuracy
r1bqkb1r/pp2pppp/2n2n2/1Npp4/3P1B2/4P3/PPP2PPP/R2QKBNR b KQkq - 2 5,e5,1.75,1.63,0.12,Best/Excellent
rnbqkb1r/pp3ppp/4pn2/2p3B1/2pP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e4,-0.13,-0.16,0.03,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq - 0 3,exd4,0.00,0.00,0.00,Unknown
rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2N1P3/PPP2PPP/R2QKBNR b KQkq - 0 4,Nc6,1.51,0.03,1.48,Inaccuracy
rnbqk1nr/ppp2ppp/4p3/3p4/2PP4/2b2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,bxc3,0.00,0.00,0.00,Unknown
rnbqk2r/ppp2p2/4pn1p/3p2p1/2PP3B/2P2N2/P3PPPP/R2QKB1R w KQkq - 0 8,Bg3,-0.95,-0.91,0.04,Best/Excellent
rnbqk2r/ppp2p2/4p2p/3p2p1/2PPn3/2P2NB1/P3PPPP/R2QKB1R w KQkq - 2 9,Qc2,-0.90,-1.06,0.16,Best/Excellent
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,-0.10,-0.53,0.43,Good
rnbqkbnr/ppp2ppp/8/3p4/3PP3/8/PP3PPP/RNBQKBNR b KQkq - 0 4,dxe4,0.00,0.00,0.00,Unknown
rnbqkbnr/pp3ppp/2p1p3/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e4,-0.12,-0.38,0.26,Good
rn1qkbnr/ppp1pppp/3p4/5b2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,-0.75,-0.78,0.03,Best/Excellent
rnbq1rk1/ppp2pp1/4pn1p/3p4/1bPP3B/2N2N2/PP2PPPP/R2QKB1R w KQ - 2 7,e3,-0.29,-0.30,0.01,Best/Excellent
r1bq1rk1/pppn1pp1/4pn1p/3p4/1bPP3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 8,Bd3,-0.31,-0.56,0.25,Good
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,e4,0.14,-0.71,0.85,Inaccuracy
rnbqk1nr/ppp2ppp/4p3/8/1bBP4/4P3/PP3PPP/RNBQK1NR w KQkq - 1 5,Bd2,-0.53,-0.55,0.02,Best/Excellent
rnbqk1nr/ppp2ppp/4p3/8/2BP4/4P3/PP1b1PPP/RN1QK1NR w KQkq - 0 6,Nxd2,-0.49,-0.49,0.00,Best/Excellent
rnbqkbnr/ppp2ppp/8/3P4/5p2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 4,c6,0.08,-0.20,0.28,Good
rnbqkb1r/pp2pppp/5n2/2pp4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,0.32,-0.27,0.59,Inaccuracy
rn1qkb1r/pp3pp1/2p1pn1p/3p2B1/2PP2b1/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4,-0.33,-0.53,0.20,Good
r1bqkb1r/pp3ppp/2n2n2/2Pp4/8/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 7,Bxc5,-0.12,-0.13,0.01,Best/Excellent
rnbqkb1r/ppp2ppp/8/3pP3/4n3/2N2Q2/PPPP2PP/R1B1KBNR b KQkq - 1 5,Be6,0.15,-0.22,0.37,Good
rn1qkb1r/ppp2ppp/4b3/3pP3/4N3/5Q2/PPPP2PP/R1B1KBNR b KQkq - 0 6,dxe4,0.00,0.00,0.00,Unknown
r1bqkbnr/pp2pppp/2n5/2pp4/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,Nf6,1.93,0.23,1.70,Mistake
r1bqk2r/ppp1bppp/2n2n2/3p2B1/3P4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 0 7,Bg4,0.95,0.43,0.52,Inaccuracy
